"Station Name","POINT ATKINSON"
"Province","BRITISH COLUMBIA"
"Latitude","49.33"
"Longitude","-123.26"
"Elevation","35.00"
"Climate Identifier","1106200"
"WMO Identifier","71037"
"TC Identifier","WSB"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"M","Missing"
"E","Estimated"
"NA","Not Available"
"**","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2000-08-01 00:00","2000","08","01","00:00"," ","21.2","","","M","","M","27","","39","","","M","","M","","","","","NA"
"2000-08-01 01:00","2000","08","01","01:00"," ","21.2","","","M","","M","30","","22","","","M","","M","","","","","NA"
"2000-08-01 02:00","2000","08","01","02:00"," ","20.3","","","M","","M","30","","13","","","M","","M","","","","","NA"
"2000-08-01 03:00","2000","08","01","03:00"," ","19.8","","","M","","M","26","","11","","","M","","M","","","","","NA"
"2000-08-01 04:00","2000","08","01","04:00"," ","19.3","","","M","","M","26","","11","","","M","","M","","","","","NA"
"2000-08-01 05:00","2000","08","01","05:00"," ","19.3","","","M","","M","24","","4","","","M","","M","","","","","NA"
"2000-08-01 06:00","2000","08","01","06:00"," ","19.0","","","M","","M","17","","2","","","M","","M","","","","","NA"
"2000-08-01 07:00","2000","08","01","07:00"," ","19.2","","","M","","M","27","","7","","","M","","M","","","","","NA"
"2000-08-01 08:00","2000","08","01","08:00"," ","18.4","","","M","","M","27","","20","","","M","","M","","","","","NA"
"2000-08-01 09:00","2000","08","01","09:00"," ","18.4","","","M","","M","27","","32","","","M","","M","","","","","NA"
"2000-08-01 10:00","2000","08","01","10:00"," ","18.4","","","M","","M","26","","24","","","M","","M","","","","","NA"
"2000-08-01 11:00","2000","08","01","11:00"," ","18.6","","","M","","M","27","","22","","","M","","M","","","","","NA"
"2000-08-01 12:00","2000","08","01","12:00"," ","18.8","","","M","","M","27","","19","","","M","","M","","","","","NA"
"2000-08-01 13:00","2000","08","01","13:00"," ","19.1","","","M","","M","26","","17","","","M","","M","","","","","NA"
"2000-08-01 14:00","2000","08","01","14:00"," ","19.6","","","M","","M","27","","28","","","M","","M","","","","","NA"
"2000-08-01 15:00","2000","08","01","15:00"," ","19.9","","","M","","M","26","","22","","","M","","M","","","","","NA"
"2000-08-01 16:00","2000","08","01","16:00"," ","20.3","","","M","","M","26","","20","","","M","","M","","","","","NA"
"2000-08-01 17:00","2000","08","01","17:00"," ","20.3","","","M","","M","28","","19","","","M","","M","","","","","NA"
"2000-08-01 18:00","2000","08","01","18:00"," ","20.7","","","M","","M","26","","13","","","M","","M","","","","","NA"
"2000-08-01 19:00","2000","08","01","19:00"," ","21.1","","","M","","M","12","","2","","","M","","M","","","","","NA"
"2000-08-01 20:00","2000","08","01","20:00"," ","19.7","","","M","","M","8","","11","","","M","","M","","","","","NA"
"2000-08-01 21:00","2000","08","01","21:00"," ","19.8","","","M","","M","8","","13","","","M","","M","","","","","NA"
