"Station Name","POINT ATKINSON"
"Province","BRITISH COLUMBIA"
"Latitude","49.33"
"Longitude","-123.26"
"Elevation","35.00"
"Climate Identifier","1106200"
"WMO Identifier","71037"
"TC Identifier","WSB"

"Legend"
"[Empty]","No Data Available"
"M","Missing"
"E","Estimated"
"A","Accumulated"
"C","Precipitation Occurred; Amount Uncertain"
"L","Precipitation May or May Not Have Occurred"
"F","Accumulated and Estimated"
"N","Temperature Missing but Known to be > 0"
"Y","Temperature Missing but Known to be < 0"
"S","More Than One Occurrence"
"T","Trace"
"*","Data for this day has undergone only preliminary quality checking"
"**","Partner data that is not subject to review by the National Climate Archives."

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2007-01-01","2007","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"2007-01-02","2007","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"2007-01-03","2007","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"2007-01-04","2007","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"2007-01-05","2007","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"2007-01-06","2007","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"2007-01-07","2007","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"2007-01-08","2007","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"2007-01-09","2007","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"2007-01-10","2007","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"2007-01-11","2007","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"2007-01-12","2007","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"2007-01-13","2007","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"2007-01-14","2007","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"2007-01-15","2007","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"2007-01-16","2007","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"2007-01-17","2007","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"2007-01-18","2007","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"2007-01-19","2007","01","19","","","","","","","","","","","","","","","","","","","","","","",""
